RAPORT KLASYFIKACJI - SZCZEGÓŁOWY
======================================================================

METRYKI PER KLASA:
----------------------------------------------------------------------
Klasa                          Precision    Recall       F1-score     Support   
----------------------------------------------------------------------
Afghanistan                    1.0000       1.0000       1.0000       10        
Albania                        1.0000       1.0000       1.0000       10        
Algeria                        1.0000       1.0000       1.0000       10        
Andorra                        1.0000       1.0000       1.0000       10        
Angola                         1.0000       1.0000       1.0000       10        
Antigua and Barbuda            1.0000       1.0000       1.0000       10        
Argentina                      1.0000       1.0000       1.0000       10        
Armenia                        1.0000       1.0000       1.0000       10        
Australia                      1.0000       1.0000       1.0000       10        
Austria                        1.0000       1.0000       1.0000       10        
Azerbaijan                     1.0000       1.0000       1.0000       10        
Bahamas                        1.0000       1.0000       1.0000       10        
Bahrain                        1.0000       1.0000       1.0000       10        
Bangladesh                     1.0000       1.0000       1.0000       10        
Barbados                       1.0000       1.0000       1.0000       10        
Belarus                        1.0000       1.0000       1.0000       10        
Belgium                        1.0000       1.0000       1.0000       10        
Belize                         1.0000       1.0000       1.0000       10        
Benin                          1.0000       1.0000       1.0000       10        
Bhutan                         1.0000       1.0000       1.0000       10        
Bolivia                        1.0000       1.0000       1.0000       10        
Bosnia and Herzegovina         1.0000       1.0000       1.0000       10        
Botswana                       1.0000       1.0000       1.0000       10        
Brazil                         1.0000       1.0000       1.0000       10        
Brunei                         1.0000       1.0000       1.0000       10        
Bulgaria                       1.0000       1.0000       1.0000       10        
Burkina Faso                   1.0000       1.0000       1.0000       10        
Burundi                        1.0000       1.0000       1.0000       10        
Cabo Verde                     0.0000       0.0000       0.0000       10        
Cambodia                       0.0000       0.0000       0.0000       10        
Cameroon                       0.0000       0.0000       0.0000       10        
Canada                         0.0000       0.0000       0.0000       10        
CAR                            0.0000       0.0000       0.0000       10        
Chad                           0.0000       0.0000       0.0000       10        
Chile                          1.0000       1.0000       1.0000       10        
China                          1.0000       1.0000       1.0000       10        
Colombia                       1.0000       1.0000       1.0000       10        
Comoros                        1.0000       1.0000       1.0000       10        
Congo                          1.0000       1.0000       1.0000       10        
Costa Rica                     1.0000       1.0000       1.0000       10        
Croatia                        1.0000       1.0000       1.0000       10        
Cuba                           1.0000       1.0000       1.0000       10        
Cyprus                         1.0000       1.0000       1.0000       10        
Czechia                        1.0000       1.0000       1.0000       10        
Denmark                        0.0000       0.0000       0.0000       10        
Djibouti                       0.0000       0.0000       0.0000       10        
Dominica                       0.0000       0.0000       0.0000       10        
Dominican Republic             0.0000       0.0000       0.0000       10        
DPRK                           0.0000       0.0000       0.0000       10        
DRC                            0.0000       0.0000       0.0000       10        
Ecuador                        1.0000       1.0000       1.0000       10        
Egypt                          1.0000       1.0000       1.0000       10        
El Salvador                    1.0000       1.0000       1.0000       10        
Equatorial Guinea              1.0000       1.0000       1.0000       10        
Eritrea                        1.0000       1.0000       1.0000       10        
Estonia                        1.0000       1.0000       1.0000       10        
Eswatini                       1.0000       1.0000       1.0000       10        
Ethiopia                       1.0000       1.0000       1.0000       10        
Fiji                           1.0000       1.0000       1.0000       10        
Finland                        1.0000       1.0000       1.0000       10        
France                         1.0000       1.0000       1.0000       10        
Gabon                          1.0000       1.0000       1.0000       10        
Gambia                         1.0000       1.0000       1.0000       10        
Georgia                        1.0000       1.0000       1.0000       10        
Germany                        1.0000       1.0000       1.0000       10        
Ghana                          1.0000       1.0000       1.0000       10        
Greece                         1.0000       1.0000       1.0000       10        
Grenada                        1.0000       1.0000       1.0000       10        
Guatemala                      1.0000       1.0000       1.0000       10        
Guinea                         1.0000       1.0000       1.0000       10        
Guinea-Bissau                  1.0000       1.0000       1.0000       10        
Guyana                         1.0000       1.0000       1.0000       10        
Haiti                          1.0000       1.0000       1.0000       10        
Holy See                       1.0000       1.0000       1.0000       10        
Honduras                       1.0000       1.0000       1.0000       10        
Hungary                        1.0000       1.0000       1.0000       10        
Iceland                        1.0000       1.0000       1.0000       10        
India                          1.0000       1.0000       1.0000       10        
Indonesia                      1.0000       1.0000       1.0000       10        
Iran                           1.0000       1.0000       1.0000       10        
Iraq                           1.0000       1.0000       1.0000       10        
Ireland                        1.0000       1.0000       1.0000       10        
Israel                         1.0000       1.0000       1.0000       10        
Italy                          1.0000       1.0000       1.0000       10        
